,Office Code,Office Name,Address Line 3,City,State,Zip,Phone,Fax,APIaddress,lat,lag
62,B69,FONTANA CA,10668 SIERRA AVE,FONTANA,CA,92337,8667267865,8335710628,10668 SIERRA AVE FONTANA CA 92337,34.0597334,-117.4362293
63,B73,MORENO VALLEY CA,22815 CALLE SAN JUAN,MORENO VALLEY,CA,92553,8885902705,8335710630,22815 CALLE SAN JUAN MORENO VALLEY CA 92553,33.9375384,-117.2268746
64,D36,GARDEN GROVE CA,11900 GILBERT ST,GARDEN GROVE,CA,92841,8776693115,8335710642,11900 GILBERT ST GARDEN GROVE CA 92841,33.79012549999999,-117.9667274
65,D44,WILSHIRE CENTER,4000 WILSHIRE BLVD,LOS ANGELES,CA,90010,8669647592,8339022600,4000 WILSHIRE BLVD LOS ANGELES CA 90010,34.0613466,-118.3146882
66,D47,SUISUN CITY CA,700 MAIN ST,SUISUN CITY,CA,94585,8669645021,8339022604,700 MAIN ST SUISUN CITY CA 94585,38.2381186,-122.0403281
67,E08,SOUTHEAST FRESNO CA,5140 E OLIVE AVE,FRESNO,CA,93727,8663664918,8339022612,5140 E OLIVE AVE FRESNO CA 93727,36.7571389,-119.7210215
68,E28,NORTH SACRAMENTO,2424 ARDEN WAY,SACRAMENTO,CA,95825,8557829153,8339401983,2424 ARDEN WAY SACRAMENTO CA 95825,38.5948934,-121.4046329
69,E31,GLENDORA CA,1165 E ROUTE 66,GLENDORA,CA,91740,8669646045,8339401987,1165 E ROUTE 66 GLENDORA CA 91740,34.1293088,-117.8440858
70,E77,ROSEVILLE CA,910 CIRBY WAY,ROSEVILLE,CA,95661,8663487830,8339402005,910 CIRBY WAY ROSEVILLE CA 95661,38.7290658,-121.2750648
71,E79,SOUTH SACRAMENTO CA,40 MASSIE CIRCLE,SACRAMENTO,CA,95823,8667083208,8339402009,40 MASSIE CIRCLE SACRAMENTO CA 95823,38.4765183,-121.4230348
72,026,CRENSHAW CA,3840 CRENSHAW BLVD,LOS ANGELES,CA,90008,8775314693,8339502426,3840 CRENSHAW BLVD LOS ANGELES CA 90008,34.016363,-118.3346159
73,027,SAN FERNANDO CA,456 S F MISSION BLVD,SAN FERNANDO,CA,91340,8883831599,8339502428,456 S F MISSION BLVD SAN FERNANDO CA 91340,34.2729782,-118.4616431
74,028,EAST OAKLAND CA,7200 BANCROFT AVE,OAKLAND,CA,94605,8885279329,8339502430,7200 BANCROFT AVE OAKLAND CA 94605,37.7672087,-122.1779309
75,061,SANTA CRUZ CA,169 WALNUT AVE,SANTA CRUZ,CA,95060,8005938523,8339502436,169 WALNUT AVE SANTA CRUZ CA 95060,36.9728841,-122.0275841
76,068,SANTA MARIA CA,2436 PROFESSIONAL PARKWAY,SANTA MARIA,CA,93455,8663312316,8339502736,2436 PROFESSIONAL PARKWAY SANTA MARIA CA 93455,34.9154543,-120.4381382
77,252,SF CHINATOWN CA,560 KEARNY ST,SAN FRANCISCO,CA,94108,8773193070,8339503039,560 KEARNY ST SAN FRANCISCO CA 94108,37.79339969999999,-122.4043105
78,383,RICHMOND CA,3164 GARRITY WAY,RICHMOND,CA,94806,8778773116,8339503043,3164 GARRITY WAY RICHMOND CA 94806,37.97741,-122.3223108
79,386,WEST FRESNO CA,865 FULTON ST,FRESNO,CA,93721,8773112640,8339503049,865 FULTON ST FRESNO CA 93721,36.7324243,-119.788786
80,434,COMPTON CA,171 E COMPTON BLVD,COMPTON,CA,90220,8884726117,8339503051,171 E COMPTON BLVD COMPTON CA 90220,33.8963473,-118.2225547
81,435,NATIONAL CITY CA,700 E 24TH ST,NATIONAL CITY,CA,91950,8663312203,8339503053,700 E 24TH ST NATIONAL CITY CA 91950,32.6635157,-117.0938551
82,480,SONORA CA,745 MORNING STAR DR,SONORA,CA,95370,8883974125,8339503375,745 MORNING STAR DR SONORA CA 95370,37.9845002,-120.3719688
83,523,MANTECA CA,510 COMMERCE CT,MANTECA,CA,95336,8663202587,8339503377,510 COMMERCE CT MANTECA CA 95336,37.7934207,-121.1913175
84,561,GILROY CA,1059 FIRST ST,GILROY,CA,95020,8774524198,8339503378,1059 FIRST ST GILROY CA 95020,37.0142974,-121.5922405
85,562,NORWALK CA,12440 E IMPERIAL HWY,NORWALK,CA,90650,8663313281,8339503381,12440 E IMPERIAL HWY NORWALK CA 90650,33.91590660000001,-118.066499
86,904,BOYLE HEIGHTS CA,215 N SOTO ST,LOS ANGELES,CA,90033,8669642035,8339503389,215 N SOTO ST LOS ANGELES CA 90033,34.0454861,-118.2089131
87,942,DELANO CA,2234 GIRARD ST,DELANO,CA,93215,8666350287,8335712609,2234 GIRARD ST DELANO CA 93215,35.7883185,-119.2477711
88,944,PORTERVILLE CA,890 W MORTON AVE,PORTERVILLE,CA,93257,8663888903,8335712613,890 W MORTON AVE PORTERVILLE CA 93257,36.0736569,-119.0371578
89,947,MADERA CA,348 E YOSEMITE AVE,MADERA,CA,93638,8774051453,8335712677,348 E YOSEMITE AVE MADERA CA 93638,36.96365590000001,-120.0564579
90,948,WATSONVILLE CA,180 WESTGATE DR,WATSONVILLE,CA,95076,8005213385,8335712679,180 WESTGATE DR WATSONVILLE CA 95076,36.9226074,-121.7926361
91,973,VALLEJO CA,106 PLZ DR,VALLEJO,CA,94591,8888085487,8339502442,106 PLZ DR VALLEJO CA 94591,38.1321167,-122.2151303
92,986,SAN LUIS OBISPO CA,3240 S HIGUERA ST,SAN LUIS OBISPO,CA,93401,8552074865,8339502756,3240 S HIGUERA ST SAN LUIS OBISPO CA 93401,35.2558349,-120.6696435
93,988,SAN RAFAEL CA,99 SMITH RANCH RD,SAN RAFAEL,CA,94903,8663317761,8339502760,99 SMITH RANCH RD SAN RAFAEL CA 94903,38.0206212,-122.5344443
94,989,YUBA CITY CA,355 PERCY AVE,YUBA CITY,CA,95991,8663315449,8339502762,355 PERCY AVE YUBA CITY CA 95991,39.1301234,-121.6158025
95,A01,SUSANVILLE,2603 RIVERSIDE DR,SUSANVILLE,CA,96130,8554208563,8339503027,2603 RIVERSIDE DR SUSANVILLE CA 96130,40.4104592,-120.6382806
96,A03,YREKA CA,1960 S OREGON ST,YREKA,CA,96097,8883666145,8339503031,1960 S OREGON ST YREKA CA 96097,41.7077277,-122.6445255
97,A09,THOUSAND OAKS CA,322 E THOUSAND OAKS BL,THOUSAND OAKS,CA,91360,8883974807,8339503033,322 E THOUSAND OAKS BL THOUSAND OAKS CA 91360,34.1785638,-118.8716025
98,A10,SANTA CLARITA CA,27200 TOURNEY RD,VALENCIA,CA,91355,8886327072,8339503035,27200 TOURNEY RD VALENCIA CA 91355,34.4165721,-118.5751574
99,A15,COLORADO RIVER BASIN / NEEDLES CA,1502 BAILEY AVE,NEEDLES,CA,92363,8665967946,8339503357,1502 BAILEY AVE NEEDLES CA 92363,34.8321707,-114.618885
100,A17,CRESCENT CITY CA,560 E HOOVER AVE,CRESCENT CITY,CA,95531,8557273600,8339503359,560 E HOOVER AVE CRESCENT CITY CA 95531,41.7713668,-124.1979977
101,A32,LAKEPORT CA,991 PARALLEL DR,LAKEPORT,CA,95453,8886762666,8339503361,991 PARALLEL DR LAKEPORT CA 95453,39.0351809,-122.9264658
102,A53,MORONGO BASIN CA,56492 29 PALMS HWY,YUCCA VALLEY,CA,92284,8773257417,8339503363,56492 29 PALMS HWY YUCCA VALLEY CA 92284,34.1211872,-116.4316069
103,A78,FOUNTAIN VALLEY CA,17075 NEWHOPE ST,FOUNTAIN VALLEY,CA,92708,8773041566,8339503365,17075 NEWHOPE ST FOUNTAIN VALLEY CA 92708,33.714882,-117.9294938
104,A79,NAPA CA,1850 SOSCOL AVE,NAPA,CA,94559,8778361559,8339503367,1850 SOSCOL AVE NAPA CA 94559,38.3081974,-122.2844365
105,A83,MOUNTAIN VIEW CA,701 N SHORELINE BLVD,MOUNTAIN VIEW,CA,94043,8773190161,8339503371,701 N SHORELINE BLVD MOUNTAIN VIEW CA 94043,37.4040521,-122.0774892
106,A85,UKIAH CA,521 S ORCHARD AVE,UKIAH,CA,95482,8885902706,8339503653,521 S ORCHARD AVE UKIAH CA 95482,39.1475847,-123.1976464
107,A88,DALY CITY CA,355 GELLERT BLVD,DALY CITY,CA,94015,8887487702,8339503657,355 GELLERT BLVD DALY CITY CA 94015,37.6659666,-122.4679094
108,B63,ANTIOCH CA,2508 VERNE ROBERTS CIR,ANTIOCH,CA,94509,8663312324,8339503669,2508 VERNE ROBERTS CIR ANTIOCH CA 94509,38.0106142,-121.8390474
109,B65,HANFORD CA,330 NORTH HARRIS ST,HANFORD,CA,93230,8552074866,8339503671,330 NORTH HARRIS ST HANFORD CA 93230,36.3287063,-119.6447739
110,B74,LODI CA,1110 W KETTLEMAN LANE,LODI,CA,95240,8882572641,8335710632,1110 W KETTLEMAN LANE LODI CA 95240,38.1141475,-121.2868659
111,B80,LA MESA CA,7961 UNIVERSITY AVE,LA MESA,CA,91942,8774051445,8335710636,7961 UNIVERSITY AVE LA MESA CA 91942,32.7643458,-117.0263991
112,D34,REDWOOD CITY CA,601 ALLERTON ST,REDWOOD CITY,CA,94063,8888605582,8335710638,601 ALLERTON ST REDWOOD CITY CA 94063,37.489056,-122.232601
113,D35,AUBURN CA,11855 EDGEWOOD RD,AUBURN,CA,95603,8669316087,8335710640,11855 EDGEWOOD RD AUBURN CA 95603,38.9211862,-121.0836681
114,D38,CAMPBELL CA,770 W HAMILTON AVE,CAMPBELL,CA,95008,8663485832,8335710644,770 W HAMILTON AVE CAMPBELL CA 95008,37.2936632,-121.9627305
115,D39,BREA CA,3230 E IMPERIAL HWY,BREA,CA,92821,8665932757,8339022594,3230 E IMPERIAL HWY BREA CA 92821,33.9096057,-117.8537625
116,D41,KEARNY MESA CA,8505 AERO DR,SAN DIEGO,CA,92123,8663316397,8339022596,8505 AERO DR SAN DIEGO CA 92123,32.8091207,-117.1441642
117,D46,ALHAMBRA CA,900 S GARFIELD AVE,ALHAMBRA,CA,91801,8662276561,8339022602,900 S GARFIELD AVE ALHAMBRA CA 91801,34.0854961,-118.1226446
118,D48,SAN LEANDRO CA,320 DAVIS ST,SAN LEANDRO,CA,94577,8663312181,8339022606,320 DAVIS ST SAN LEANDRO CA 94577,37.7251649,-122.1587411
119,E27,OROVILLE CA,115 TABLE MOUNTAIN BL,OROVILLE,CA,95965,8663317130,8339022614,115 TABLE MOUNTAIN BL OROVILLE CA 95965,39.5223376,-121.5571992
120,E29,WEST SACRAMENTO CA,825 RIVERSIDE PARKWAY,WEST SACRAMENTO,CA,95605,8667268136,8339401985,825 RIVERSIDE PARKWAY WEST SACRAMENTO CA 95605,38.5905649,-121.5634912
121,E39,INDIO CA,46845 MONROE ST,INDIO,CA,92201,8773195758,8339401989,46845 MONROE ST INDIO CA 92201,33.7084985,-116.2353989
122,E41,SAN JOSE SOUTH,6140 COTTLE RD,SAN JOSE,CA,95123,8883831180,8339401991,6140 COTTLE RD SAN JOSE CA 95123,37.2354304,-121.8035418
123,E78,PLACERVILLE CA,3916 MISSOURI FLAT RD,PLACERVILLE,CA,95667,8775455497,8339402007,3916 MISSOURI FLAT RD PLACERVILLE CA 95667,38.7127632,-120.8433893
